city,lng,lat,temp_max,humidity,cloudiness,wind_speed,country,date
quatre cocos,-20.21,57.76,24.44,78,40,3.6,MU,1603076177
pozoblanco,38.38,-4.85,12.0,62,11,1.0,ES,1603076460
hithadhoo,-0.6,73.08,28.31,75,58,5.77,MV,1603076461
lavrentiya,65.58,-171.0,1.99,86,17,2.15,RU,1603076181
khatanga,71.97,102.5,-13.1,89,0,3.75,RU,1603076182
nikolskoye,59.7,30.79,2.0,89,40,4.0,RU,1603076184
port elizabeth,-33.92,25.57,13.0,93,63,1.13,ZA,1603076185
ravar,31.27,56.81,9.32,32,0,0.99,IR,1603076187
qaanaaq,77.48,-69.36,-2.93,87,49,3.08,GL,1603076188
marawi,8.0,124.29,27.78,80,97,1.79,PH,1603076189
busselton,-33.65,115.33,26.11,37,13,2.69,AU,1603076045
vaini,-21.2,-175.2,22.0,88,40,4.1,TO,1603076191
dunedin,-45.87,170.5,11.67,85,100,3.8,NZ,1603076295
ribeira grande,38.52,-28.7,17.29,72,7,9.91,PT,1603076297
san carlos de bariloche,-41.15,-71.31,5.0,80,75,12.9,AR,1603076195
chokurdakh,70.63,147.92,-6.75,98,92,2.61,RU,1603076197
victoria,22.29,114.16,25.56,70,2,0.89,HK,1603076198
mehamn,71.04,27.85,2.68,78,50,3.15,NO,1603076199
ushuaia,-54.8,-68.3,3.0,74,40,3.6,AR,1603076131
punta arenas,-53.15,-70.92,2.0,80,20,10.3,CL,1603076202
jackson,42.42,-122.83,23.0,35,1,1.5,US,1603076203
san juan,-31.54,-68.54,25.31,28,0,7.21,AR,1603076204
albany,42.6,-73.97,12.22,62,88,3.3,US,1603075913
carballo,43.21,-8.69,19.44,67,99,1.0,ES,1603076206
tuatapere,-46.13,167.68,10.56,85,100,4.47,NZ,1603076208
kathu,7.92,98.33,29.44,79,20,1.5,TH,1603076209
bredasdorp,-34.53,20.04,14.0,87,88,1.0,ZA,1603076054
leningradskiy,69.38,178.42,-3.8,88,0,3.1,RU,1603076211
rikitea,-23.12,-134.97,23.72,81,100,8.34,PF,1603076066
avarua,-21.21,-159.78,26.0,74,30,2.6,CK,1603076214
arraial do cabo,-22.97,-42.03,21.96,80,99,10.15,BR,1603076106
mar del plata,-38.0,-57.56,22.0,83,90,2.6,AR,1603076216
pevek,69.7,170.31,-2.97,94,18,7.38,RU,1603076217
alofi,-19.06,-169.92,23.65,84,100,7.4,NU,1603076026
takoradi,4.88,-1.76,24.89,88,55,3.06,GH,1603076220
longyearbyen,78.22,15.64,-5.0,79,20,4.6,SJ,1603076221
mataura,-46.19,168.86,10.56,85,100,4.47,NZ,1603076074
deputatskiy,69.3,139.9,-10.72,95,100,3.1,RU,1603076223
vao,-22.67,167.48,22.04,79,45,6.58,NC,1603076225
bluff,-46.6,168.33,10.56,85,100,4.47,NZ,1603076226
bustamante,26.53,-100.5,24.96,59,0,3.03,MX,1603076227
atuona,-9.8,-139.03,25.73,76,1,8.73,PF,1603076228
hermanus,-34.42,19.23,13.33,90,73,0.45,ZA,1603076230
tuktoyaktuk,69.45,-133.04,-10.0,92,40,1.5,CA,1603076231
dayong,25.02,118.29,25.0,61,75,6.0,CN,1603076232
